date;category;variable;value
2020-06-18;response;C6_Stay at home requirements;0
2020-06-19;response;C1_School closing;3
2020-06-19;response;C4_Restrictions on gatherings;4
2020-06-19;response;C6_Stay at home requirements;0
2020-06-20;response;C1_School closing;3
2020-06-20;response;C4_Restrictions on gatherings;4
2020-06-20;response;C6_Stay at home requirements;0
2020-06-21;response;C1_School closing;3
2020-06-21;response;C4_Restrictions on gatherings;4
2020-06-21;response;C6_Stay at home requirements;0
2020-06-22;response;C1_School closing;3
2020-06-22;response;C4_Restrictions on gatherings;4
2020-06-22;response;C6_Stay at home requirements;0
2020-06-23;response;C1_School closing;3
2020-06-23;response;C4_Restrictions on gatherings;4
2020-06-23;response;C6_Stay at home requirements;0
2020-06-24;response;C1_School closing;3
2020-06-24;response;C4_Restrictions on gatherings;4
2020-06-24;response;C6_Stay at home requirements;0
2020-06-25;response;C1_School closing;3
2020-06-25;response;C4_Restrictions on gatherings;4
2020-06-25;response;C6_Stay at home requirements;0
2020-06-26;response;C1_School closing;3
2020-06-26;response;C4_Restrictions on gatherings;4
2020-06-26;response;C6_Stay at home requirements;0
2020-06-27;response;C1_School closing;3
2020-06-27;response;C4_Restrictions on gatherings;4
2020-06-27;response;C6_Stay at home requirements;0
2020-06-28;response;C1_School closing;3
2020-06-28;response;C4_Restrictions on gatherings;4
2020-06-28;response;C6_Stay at home requirements;0
2020-06-29;response;C1_School closing;3
2020-06-29;response;C4_Restrictions on gatherings;4
2020-06-29;response;C6_Stay at home requirements;0
2020-06-30;response;C1_School closing;3
2020-06-30;response;C4_Restrictions on gatherings;4
2020-06-30;response;C6_Stay at home requirements;0
2020-07-01;response;C1_School closing;3
2020-07-01;response;C4_Restrictions on gatherings;4
2020-07-01;response;C6_Stay at home requirements;0
2020-07-02;response;C1_School closing;3
2020-07-02;response;C4_Restrictions on gatherings;4
2020-07-02;response;C6_Stay at home requirements;0
2020-07-03;response;C1_School closing;3
2020-07-03;response;C4_Restrictions on gatherings;4
2020-07-03;response;C6_Stay at home requirements;0
2020-07-04;response;C1_School closing;3
2020-07-04;response;C4_Restrictions on gatherings;4
2020-07-04;response;C6_Stay at home requirements;0
2020-07-05;response;C1_School closing;3
2020-07-05;response;C4_Restrictions on gatherings;4
2020-07-05;response;C6_Stay at home requirements;0
2020-07-06;response;C1_School closing;3
2020-07-06;response;C4_Restrictions on gatherings;4
2020-07-06;response;C6_Stay at home requirements;0
2020-07-07;response;C1_School closing;1
2020-07-07;response;C4_Restrictions on gatherings;3
2020-07-07;response;C6_Stay at home requirements;0
2020-07-08;response;C1_School closing;1
2020-07-08;response;C4_Restrictions on gatherings;3
2020-07-08;response;C6_Stay at home requirements;0
2020-07-09;response;C1_School closing;1
2020-07-09;response;C4_Restrictions on gatherings;3
2020-07-09;response;C6_Stay at home requirements;0
2020-07-10;response;C1_School closing;1
2020-07-10;response;C4_Restrictions on gatherings;3
2020-07-10;response;C6_Stay at home requirements;0
2020-07-11;response;C1_School closing;1
2020-07-11;response;C4_Restrictions on gatherings;3
2020-07-11;response;C6_Stay at home requirements;0
2020-07-12;response;C1_School closing;1
2020-07-12;response;C4_Restrictions on gatherings;3
2020-07-12;response;C6_Stay at home requirements;0
2020-07-13;response;C1_School closing;1
2020-07-13;response;C4_Restrictions on gatherings;3
2020-07-13;response;C6_Stay at home requirements;0
2020-07-14;response;C1_School closing;1
2020-07-14;response;C4_Restrictions on gatherings;3
2020-07-14;response;C6_Stay at home requirements;0
2020-07-15;response;C1_School closing;1
2020-07-15;response;C4_Restrictions on gatherings;3
2020-07-15;response;C6_Stay at home requirements;0
2020-07-16;response;C1_School closing;1
2020-07-16;response;C4_Restrictions on gatherings;3
2020-07-16;response;C6_Stay at home requirements;0
